Fecha, Hora, Zona de Carga, Precio Zonal ($/MWh), Componente energia ($/MWh), Componente perdidas ($/MWh), Componente Congestion ($/MWh),,
01/04/2025,6,CHIHUAHUA,152.54,695.78,-140.37,-402.87,0,1
01/04/2025,7,CHIHUAHUA,164.17,741.91,-152.99,-424.76,0,1
01/04/2025,8,CHIHUAHUA,164.03,694.03,-148.74,-381.26,0,1
01/04/2025,9,CHIHUAHUA,115.12,621.79,-124.82,-381.85,0,1
01/04/2025,10,CHIHUAHUA,62.85,540.62,-101.93,-375.84,0,1
01/04/2025,11,CHIHUAHUA,55.05,433.31,-83.85,-294.42,0,1
01/04/2025,12,CHIHUAHUA,39.65,239.49,-51.51,-148.34,0,1
01/04/2025,13,CHIHUAHUA,55.35,377.9,-76.7,-245.84,0,1
01/04/2025,14,CHIHUAHUA,77.61,278.68,-66.15,-134.93,0,1
01/04/2025,15,CHIHUAHUA,85.95,319.56,-70.71,-162.9,0,1
01/04/2025,16,CHIHUAHUA,106.9,341.22,-71.48,-162.85,0,1
01/04/2025,17,CHIHUAHUA,141.6,536.09,-114,-280.49,0,1
01/04/2025,18,CHIHUAHUA,162.06,628.88,-140.15,-326.67,0,1
01/04/2025,19,CHIHUAHUA,505.79,897.92,-207.98,-184.15,0,1
01/04/2025,20,CHIHUAHUA,882.29,2703.16,-633.01,-1187.87,0,1
01/04/2025,21,CHIHUAHUA,1204.63,3775.34,-771.42,-1799.29,0,1
01/04/2025,22,CHIHUAHUA,567.08,820.38,-193.93,-59.36,0,1
01/04/2025,23,CHIHUAHUA,607.15,1190.61,-265.82,-317.64,0,1
01/04/2025,24,CHIHUAHUA,348.46,908.97,-203.38,-357.13,0,1
01/04/2025,1,CHILPANCINGO,986.51,931.29,135.58,-80.37,0,1
01/04/2025,2,CHILPANCINGO,966.14,901.5,126.1,-61.46,0,1
01/04/2025,3,CHILPANCINGO,1587.55,669.13,93.91,824.5,0,1
01/04/2025,4,CHILPANCINGO,771.62,711.01,98.92,-38.31,0,1
01/04/2025,5,CHILPANCINGO,745.2,716.08,98.89,-69.77,0,1
01/04/2025,6,CHILPANCINGO,721.1,695.78,91.95,-66.62,0,1
01/04/2025,7,CHILPANCINGO,770.71,741.91,100.71,-71.91,0,1
01/04/2025,8,CHILPANCINGO,791.79,694.03,97.73,0.03,0,1
01/04/2025,9,CHILPANCINGO,710.92,621.79,89.54,-0.41,0,1
01/04/2025,10,CHILPANCINGO,686.09,540.62,77.15,68.32,0,1
01/04/2025,11,CHILPANCINGO,784.3,433.31,63.18,287.82,0,1
01/04/2025,12,CHILPANCINGO,995.82,239.49,35.87,720.45,0,1
01/04/2025,13,CHILPANCINGO,956.51,377.9,57.16,521.45,0,1
